,Name,Platform,User_Scoree
144,Tomb Raider: Definitive Edition,XOne,7.7
145,Forza Horizon 2,XOne,8.3
146,Bayonetta,WiiU,8.8
147,Final Fantasy XIV Online: A Realm Reborn,PS4,7.2
148,Resogun: Heroes,PS4,7.3
149,The Talos Principle,PC,8.5
150,Legend of Grimrock II,PC,8.1
151,Dragon Age: Inquisition,PC,5.9
152,Bravely Default,3DS,8.4
153,Rogue Legacy,PSV,7.8
154,South Park: The Stick of Truth,PC,8.6
155,Dragon Age: Inquisition,XOne,7
156,Super Smash Bros. for Nintendo 3DS,3DS,8.6
157,Shovel Knight,PC,8
158,Final Fantasy X / X-2 HD Remaster,PS3,8.7
159,Assetto Corsa,PC,8.4
160,Valkyria Chronicles,PC,8.2
161,BattleBlock Theater,PC,7.9
162,Halo: The Master Chief Collection,XOne,7.4
163,Persona 4 Arena Ultimax,X360,4.8
164,Super Mega Baseball,PS4,7.3
165,South Park: The Stick of Truth,PS3,8.5
166,The Wolf Among Us: Episode 5 - Cry Wolf,X360,8.3
167,Rogue Legacy,PS4,7.7
168,Geometry Wars 3: Dimensions,PS4,7.5
169,Far Cry 4,PS4,7.7
170,Shantae and the Pirate's Curse,WiiU,8.7
171,Tomb Raider: Definitive Edition,PS4,8.1
172,Persona 4 Arena Ultimax,PS3,5.6
173,Middle-earth: Shadow of Mordor,PC,7.9
174,Middle-earth: Shadow of Mordor,PS4,8.1
175,Guilty Gear Xrd -SIGN-,PS4,8
176,TxK,PSV,7.2
177,Hearthstone: Goblins Vs. Gnomes,PC,6.2
178,Tales From The Borderlands: Episode 1 - Zer0 Sum,PC,8.4
179,ZEN Pinball 2: South Park: Super-Sweet Pinball,PS4,6
180,Metro Redux,PC,8
181,Frozen Synapse Prime,PSV,7.2
182,Europa Universalis IV: Wealth of Nations,PC,8.5
183,BioShock Infinite: Burial at Sea - Episode Two,X360,8.5
184,Child of Light,WiiU,8.5
185,Metro Redux,XOne,8.2
186,Oddworld: Abe's Oddysee - New 'n' Tasty,PS4,7.8
187,Minecraft: PlayStation Vita Edition,PSV,7.6
188,Ultra Street Fighter IV,X360,6.9
189,The Walking Dead: Season Two Episode 5 - No Going Back,X360,8.8
