,Name,Platform,User_Scoree
2888,Snoopy Flying Ace,X360,8.7
2889,Hot Shots Tennis: Get a Grip,PSP,8.1
2890,Ys: The Oath in Felghana,PSP,8.4
2891,Space Invaders Infinity Gene,X360,8.5
2892,Toki Tori,PC,7.7
2893,Lunar: Silver Star Harmony,PSP,7.7
2894,Alan Wake: The Writer,X360,7.3
2895,Lazy Raiders,X360,8.8
2896,S.T.A.L.K.E.R.: Call of Pripyat,PC,8.7
2897,Skate 3,PS3,7.7
2898,Enslaved: Odyssey to the West,PS3,7.5
2899,Resident Evil 5: Lost in Nightmares,X360,7.7
2900,Doom,X360,8.3
2901,Hitman: Blood Money,X360,8.7
2902,Tomb Raider: Legend,PS2,7.3
2903,Dominions 3: The Awakening,PC,7.6
2904,Call of Duty 3,X360,6.5
2905,Sega Genesis Collection,PS2,8.3
2906,Xpand Rally,PC,7.5
2907,OutRun 2006: Coast 2 Coast,PSP,8.1
2908,College Hoops 2K7,X360,8.2
2909,Bookworm Adventures Deluxe,PC,7.4
2910,Hitman: Blood Money,PC,8.8
2911,Tony Hawk's Project 8,X360,7.6
2912,Tiger Woods PGA Tour 07,XB,6.8
2913,Race Driver 2006,PSP,8.5
2914,Saints Row,X360,7.5
2915,Lumines II,PSP,7.6
2916,Drill Dozer,GBA,8.5
2917,LEGO Star Wars II: The Original Trilogy,X360,8
2918,NBA 2K7,PS2,8.4
2919,Hitman: Blood Money,XB,8.9
2920,Uno,X360,7.9
2921,OutRun 2006: Coast 2 Coast,PC,7.5
2922,Rockstar Games presents Table Tennis,X360,7.8
2923,The Elder Scrolls IV: Knights of the Nine,PC,7.4
2924,Red Orchestra: Ostfront 41-45,PC,8.6
2925,Yoshi's Island DS,DS,7.5
2926,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,8.8
2927,Tiger Woods PGA Tour 07,PS3,tbd
2928,Madden NFL 07,Wii,8
2929,Xenosaga Episode III: Also sprach Zarathustra,PS2,8.7
2930,Marvel: Ultimate Alliance,PSP,7.4
2931,Sam & Max Episode 101: Culture Shock,PC,8.1
2932,Marvel: Ultimate Alliance,PS2,8
2933,Onimusha: Dawn of Dreams,PS2,8.8
2934,WWE SmackDown vs. Raw 2007,X360,7.9
2935,Eets,PC,6.2
2936,OutRun 2006: Coast 2 Coast,PS2,8.3
2937,Age of Empires III: The WarChiefs,PC,7.9
2938,Gitaroo Man Lives!,PSP,8.5
2939,Age of Empires: The Age of Kings,DS,8
2940,Madden NFL 07,X360,6
2941,FIFA 07 Soccer,PSP,8.7
2942,FIFA 07 Soccer,GC,7.9
2943,Street Fighter Alpha 3 MAX,PSP,8
2944,Tom Clancy's Splinter Cell: Double Agent,PC,5.8
2945,Madden NFL 07,PC,7.3
2946,Hearts of Iron II: Doomsday,PC,8.8
2947,Tiger Woods PGA Tour 07,X360,7.9
2948,SWAT 4: The Stetchkov Syndicate,PC,8.2
2949,Tomb Raider: Legend,X360,7.4
2950,SpellForce 2: Shadow Wars,PC,7.5
2951,NBA 2K7,PS3,7.4
2952,MotoGP '06,X360,7.4
2953,Battlefield 2142,PC,6.8
2954,Cloning Clyde,X360,8
2955,Trauma Center: Second Opinion,Wii,8
2956,Call of Duty 3,PS3,6.8
2957,WWE SmackDown vs. Raw 2007,PS2,8.7
2958,Tom Clancy's Ghost Recon Advanced Warfighter,PC,7.7
2959,Valkyrie Profile: Lenneth,PSP,8.6
2960,RoboBlitz,PC,8.1
2961,TrackMania United,PC,8.9
2962,Microsoft Flight Simulator X,PC,7.6
2963,Metal Gear Acid 2,PSP,8.2
2964,Star Wars: Empire at War,PC,8.4
2965,NHL 07,X360,5.3
2966,1701 A.D.,PC,8.2
2967,NCAA Football 07,X360,7
2968,Street Fighter Alpha Anthology,PS2,8.1
2969,The Lord of the Rings: The Battle for Middle-Earth II,X360,7.6
2970,Def Jam: Fight for NY: The Takeover,PSP,8.2
2971,Rome: Total War Alexander,PC,7.5
2972,Sam & Max Episode 102: Situation: Comedy,PC,7.4
2973,Tiger Woods PGA Tour 07,PS2,6
2974,Black,PS2,8.4
2975,NHL 2K7,PS3,6.6
2976,Prey,X360,7.4
2977,Summon Night: Swordcraft Story 2,GBA,8.6
2978,Assault Heroes,X360,7.4
2979,Marble Blast Ultra,X360,8.2
2980,Mega Man Maverick Hunter X,PSP,8.5
2981,Far Cry Instincts Evolution,XB,6.3
2982,Madden NFL 07,PSP,6.6
2983,Bomberman Land Touch!,DS,7.4
2984,Marvel: Ultimate Alliance,PS3,7.6
2985,AstroPop,X360,5.4
2986,The Movies: Stunts & Effects,PC,7.8
2987,Tiger Woods PGA Tour 07,PSP,tbd
2988,Metal Gear Solid: Digital Graphic Novel,PSP,7.4
2989,Condemned: Criminal Origins,PC,7.7
2990,FIFA 07 Soccer,PC,7.7
2991,World Soccer Winning Eleven 9,PSP,6.5
2992,Grand Theft Auto: Liberty City Stories,PS2,7.8
2993,NHL 2K7,X360,7.9
2994,The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-King,PC,8.5
2995,Tales of the Abyss,PS2,8.4
2996,Far Cry Instincts Predator,X360,6.2
2997,The Sims 2: Open for Business,PC,8.7
2998,Mercury Meltdown,PSP,7.8
2999,NHL 2K7,XB,tbd
3000,Odin Sphere,PS2,8.6
3001,Rock Band,PS2,6.8
3002,MLB 07: The Show,PSP,7.2
3003,Sam & Max Episode 105: Reality 2.0,PC,8
3004,Guitar Hero III: Legends of Rock,PS2,8.4
3005,The Darkness,X360,8.1
3006,Lunar Knights,DS,7.8
3007,Neverwinter Nights 2: Mask of The Betrayer,PC,8.5
3008,Aquaria,PC,8.1
3009,Super Puzzle Fighter II Turbo HD Remix,PS3,7.4
3010,S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,8.5
3011,Prince of Persia Classic,X360,7.1
3012,College Hoops 2K8,PS3,5.2
3013,Sam & Max Episode 201: Ice Station Santa,PC,8.5
3014,Command & Conquer 3: Tiberium Wars,X360,7.2
3015,Sid Meier's Pirates!,PSP,7.7
3016,Flight Simulator X: Acceleration,PC,7.3
3017,Sonic the Hedgehog 2,X360,8.8
3018,FIFA Soccer 08,X360,7.9
3019,Puzzle Quest: Challenge of the Warlords,DS,8.2
3020,Tekken 5: Dark Resurrection,PS3,7.8
3021,NBA 2K8,X360,7
3022,NBA 2K8,PS3,6.8
3023,Supreme Commander: Forged Alliance,PC,8.9
3024,NCAA Football 08,X360,7.8
3025,The Witcher,PC,8.8
3026,Jade Empire: Special Edition,PC,8.2
3027,Sensible World of Soccer,X360,7.4
3028,Assassin's Creed,X360,7.7
3029,College Hoops 2K7,PS3,7.1
3030,Overlord,PC,8
3031,Tiger Woods PGA Tour 08,DS,7.6
3032,NBA Street Homecourt,PS3,6.2
3033,Winning Eleven: Pro Evolution Soccer 2007,PSP,8.3
3034,Assassin's Creed,PS3,7.3
3035,Final Fantasy XII: Revenant Wings,DS,8.7
3036,College Hoops 2K8,X360,6.9
3037,Catan,X360,7.7
3038,Madden NFL 08,PS3,5.3
3039,FIFA Soccer 08,PS3,7.1
3040,Worms: Open Warfare 2,DS,8.4
3041,The Warriors,PSP,7.8
3042,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,9
3043,Age of Empires III: The Asian Dynasties,PC,8.5
3044,Ace Combat 6: Fires of Liberation,X360,7.9
3045,Metal Slug Anthology,PS2,8.3
3046,Sam & Max Episode 104: Abe Lincoln Must Die!,PC,7.6
3047,LEGO Star Wars: The Complete Saga,Wii,8.8
3048,TMNT,GBA,6.4
3049,NBA Street Homecourt,X360,7.9
3050,Titan Quest: Immortal Throne,PC,8.5
3051,Test Drive Unlimited,PSP,7.5
3052,LEGO Star Wars: The Complete Saga,X360,7.6
3053,Castlevania: The Dracula X Chronicles,PSP,8
3054,Virtua Tennis 3,X360,6.9
3055,Virtua Tennis 3,PS3,7.8
3056,Tiger Woods PGA Tour 08,X360,7.8
3057,MLB Power Pros,PS2,8.8
3058,The Darkness,PS3,7.7
3059,LEGO Star Wars: The Complete Saga,DS,5.5
3060,Geometry Wars: Galaxies,Wii,8.2
3061,LEGO Star Wars: The Complete Saga,PS3,6.9
3062,Worms: Open Warfare 2,PSP,8
3063,FlatOut: Ultimate Carnage,X360,8.5
3064,Test Drive Unlimited,PC,8
3065,The Bigs,X360,8.4
3066,Silent Hunter: Wolves of the Pacific,PC,7.1
3067,Lost Planet: Extreme Condition,X360,7.1
3068,Eternal Sonata,X360,7.9
3069,Sword of the Stars: Born of Blood,PC,7.6
3070,GrimGrimoire,PS2,7.9
3071,Virtua Tennis 3,PSP,7.8
3072,Winning Eleven: Pro Evolution Soccer 2007,X360,6.5
3073,The New York Times Crosswords,DS,6.7
3074,Sam & Max Episode 106: Bright Side of the Moon,PC,7.4
3075,Alien Hominid HD,X360,7.5
3076,Guitar Hero III: Legends of Rock,PC,7.4
3077,Shadowgrounds Survivor,PC,7.6
3078,Heavenly Sword,PS3,8.2
3079,Tiger Woods PGA Tour 08,PS3,6.6
3080,Guild Wars: Eye of the North,PC,8.5
3081,Carcassonne,X360,8.4
3082,Geometry Wars: Galaxies,DS,7.9
3083,FIFA Soccer 08,PSP,7.5
3084,Major League Baseball 2K7,X360,7.1
3085,Spider-Man 3,DS,6.6
3086,Blue Dragon,X360,7.9
3087,Tony Hawk's Proving Ground,DS,6.7
3088,Nancy Drew: Legend of the Crystal Skull,PC,7.4
3089,Mario Strikers Charged,Wii,8.1
3090,Traxxpad,PSP,6.3
3091,Gurumin: A Monstrous Adventure,PSP,7.7
3092,Hotel Dusk: Room 215,DS,8.5
3093,Rune Factory: A Fantasy Harvest Moon,DS,8.2
3094,Naruto: Rise of a Ninja,X360,8.5
3095,Sonic Rush Adventure,DS,8.1
3096,Silent Hill: Origins,PSP,7.8
3097,Tomb Raider: Anniversary,PSP,8.2
3098,Karaoke Revolution Presents: American Idol,PS2,8.4
3099,Mega Man ZX Advent,DS,8.5
3100,Mega Man 9,Wii,8.3
3101,Bangai-O Spirits,DS,8.1
3102,Madden NFL 09,X360,7
3103,Crisis Core: Final Fantasy VII,PSP,8.8
3104,MLB 08: The Show,PSP,8.4
3105,Worldwide Soccer Manager 2009,PC,7.6
3106,Call of Duty: World at War,PC,7.5
3107,Ninja Gaiden: Dragon Sword,DS,7.8
3108,Spore Creature Creator,PC,7.7
3109,GTR Evolution,PC,8
3110,Bully: Scholarship Edition,Wii,8.5
3111,Battlefield: Bad Company,X360,7.7
3112,NCAA Football 09,X360,7.7
3113,Sid Meier's Civilization IV: Colonization,PC,6.8
3114,Pro Evolution Soccer 2008,Wii,8.3
3115,Call of Duty: World at War,Wii,7.6
3116,Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough,Wii,7.6
3117,Wipeout Pulse,PSP,8.6
3118,Tom Clancy's Rainbow Six Vegas 2,X360,7.8
3119,KORG DS-10 Synthesizer,DS,8.2
3120,Hot Shots Golf: Open Tee 2,PSP,8.7
3121,SingStar,PS3,5.9
3122,Tiger Woods PGA Tour 09,PS3,7.2
3123,Viva Pinata: Trouble in Paradise,X360,7.9
3124,Unreal Tournament III,X360,7.6
3125,NBA 2K9,PS3,7.1
3126,Disgaea DS,DS,7.3
3127,Viva Pinata: Pocket Paradise,DS,7.2
3128,Mega Man 9,X360,8.3
3129,Condemned 2: Bloodshot,PS3,8.1
3130,Castle Crashers,X360,8.8
3131,Pinball Hall of Fame: The Williams Collection,Wii,8.1
3132,Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,Wii,7.9
3133,Mario Kart Wii,Wii,8.3
3134,N+,DS,7.5
3135,Art Style: ORBIENT,Wii,8.2
3136,Madden NFL 09 All-Play,Wii,7.2
3137,Midnight Club: Los Angeles,PS3,8.5
3138,Etrian Odyssey II: Heroes of Lagaard,DS,8.3
3139,Pro Evolution Soccer 2008,PS2,7.9
3140,Command & Conquer: Red Alert 3,PC,6.8
3141,FIFA Soccer 09,PS2,6.9
3142,Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough,PC,7.5
3143,Prince of Persia,PC,7.2
3144,PixelJunk Monsters Encore,PS3,7.8
3145,MotorStorm: Pacific Rift,PS3,8
3146,de Blob,Wii,8.5
3147,Bleach: Dark Souls,DS,7.8
3148,Saints Row 2,PS3,8
3149,Out of the Park Baseball 9,PC,7.4
3150,Hot Shots Golf: Out of Bounds,PS3,8.6
3151,Saints Row 2,X360,8.2
3152,Tom Clancy's Rainbow Six Vegas 2,PS3,7.9
3153,Strong Bad's Cool Game for Attractive People Episode 4: Dangeresque 3: The Criminal Projective,Wii,8.6
3154,Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,PC,7.7
3155,echochrome,PS3,7.3
3156,Personal Trainer: Cooking,DS,7.8
3157,Strong Bad's Cool Game for Attractive People Episode 4: Dangeresque 3: The Criminal Projective,PC,8.5
3158,LostWinds,Wii,3.1
3159,NCAA Football 09,PS3,7.2
3160,Poker Smash,X360,8.5
3161,Midnight Club: Los Angeles,X360,8.5
3162,Metal Gear Online,PS3,7.7
3163,Tiger Woods PGA Tour 09 All-Play,Wii,8.7
3164,Ninja Gaiden II,X360,8
3165,Defense Grid: The Awakening,PC,8.8
3166,Prince of Persia,X360,7.1
3167,Sid Meier's Civilization Revolution,DS,7.8
3168,Age of Conan: Hyborian Adventures,PC,7.3
3169,Dragon Quest IV: Chapters of the Chosen,DS,8.1
3170,Bully: Scholarship Edition,X360,8.3
3171,Sam & Max Episode 202: Moai Better Blues,PC,7.6
3172,Final Fantasy Tactics A2: Grimoire of the Rift,DS,8.7
3173,Eternal Sonata,PS3,7.7
3174,Condemned 2: Bloodshot,X360,8.5
3175,Duke Nukem 3D,X360,8.1
3176,Pro Evolution Soccer 2008,PSP,6.6
3177,Pure,PC,6.9
3178,Buzz! Quiz TV,PS3,7.1
3179,PixelJunk Eden,PS3,7.8
3180,Tomb Raider: Underworld,PC,7.7
3181,Lumines Supernova,PS3,8.1
3182,Ninjatown,DS,8.3
3183,Gran Turismo 5 Prologue,PS3,7.1
3184,Penny Arcade Adventures: Episode Two,PC,7.7
3185,FIFA Soccer 09 All-Play,Wii,8.4
3186,Lock's Quest,DS,8.5
3187,Rock Band,Wii,6.2
3188,LEGO Batman: The Videogame,PC,7.7
3189,LEGO Indiana Jones: The Original Adventures,DS,7.8
3190,UEFA EURO 2008,X360,8.4
3191,Wii Fit,Wii,7.7
3192,Final Fantasy Crystal Chronicles: My Life as a King,Wii,7
3193,Naruto: The Broken Bond,X360,7.8
3194,WWE SmackDown vs. Raw 2009,X360,7.1
3195,Strong Bad's Cool Game for Attractive People Episode 3: Baddest of the Bands,Wii,7.4
3196,Brothers in Arms: Hell's Highway,PC,7.7
3197,Banjo-Kazooie: Nuts & Bolts,X360,6.7
3198,Europa Universalis: Rome - Vae Victis,PC,8.6
3199,Pro Evolution Soccer 2009,PC,7.4
3200,NASCAR Heat,PC,7.7
3201,Pokemon Puzzle League,N64,8.5
3202,007: The World is Not Enough,N64,7.8
3203,Star Trek: Deep Space Nine: The Fallen,PC,7.6
3204,Railroad Tycoon II: Gold Edition,DC,8.8
3205,Valkyrie Profile,PS,8.8
3206,Capcom vs. SNK,DC,8.6
3207,Starcraft 64,N64,8.2
3208,Jarrett & Labonte Stock Car Racing,PS,7.6
3209,Fur Fighters,DC,8.5
3210,Incredible Crisis,PS,7.5
3211,RollerCoaster Tycoon: Loopy Landscapes,PC,8.9
3212,Vanishing Point,DC,7.6
3213,Chessmaster 8000,PC,6.7
3214,Tokyo Xtreme Racer 2,DC,8.6
3215,Smuggler's Run,PS2,6.8
3216,Bust-A-Move 4,DC,8.5
3217,Parasite Eve II,PS,9
3218,Space Empires IV,PC,8.1
3219,Sega Marine Fishing,DC,8.5
3220,Close Combat: Invasion: Normandy,PC,7.6
3221,Resident Evil 3: Nemesis,DC,9
3222,Sky Odyssey,PS2,8.4
3223,StarLancer,DC,8.3
3224,Midnight Club: Street Racing,PS2,7.6
3225,Swing Away Golf,PS2,tbd
3226,Ridge Racer V,PS2,7.5
3227,NFL Blitz 2001,DC,8
3228,Midtown Madness 2,PC,8.7
3229,Need for Speed: Porsche Unleashed,PS,8.2
3230,Earth 2150,PC,8.2
3231,Heavy Metal: F.A.K.K. 2,PC,7.6
3232,StarLancer,PC,7.4
3233,Armored Core 2,PS2,8.6
3234,Madden NFL 2001,PC,5.8
3235,Dirt Track Racing: Sprint Cars,PC,8.7
3236,NHL FaceOff 2001,PS,tbd
3237,Ground Control: Dark Conspiracy,PC,6.6
3238,Tenchu 2: Birth of the Stealth Assassins,PS,8.7
3239,Army Men: Air Combat,N64,7.8
3240,Turok 3: Shadow of Oblivion,N64,7.1
3241,Kirby 64: The Crystal Shards,N64,8.2
3242,MotoGP,PS2,6
3243,You Don't Know Jack: 5th Dementia,PC,6.5
3244,Unreal Tournament,PS2,7.1
3245,Starfleet Command Volume II: Empires at War,PC,6.8
3246,Resident Evil 2,DC,8.9
3247,Demolition Racer: No Exit,DC,8.5
3248,SimCity 3000 Unlimited,PC,8.6
3249,Dark Reign 2,PC,7.3
3250,Cleopatra: Queen of the Nile,PC,7.5
3251,The Devil Inside,PC,6.9
3252,Star Wars Episode I: Jedi Power Battles,DC,7.9
3253,Star Trek: Invasion,PS,7.5
3254,Mega Man Legends 2,PS,8.5
3255,Speed Devils Online Racing,DC,8.1
3256,Rune 2000,PC,7.7
3257,BreakNeck 2000,PC,6.7
3258,Ready 2 Rumble Boxing: Round 2,PS2,7.3
3259,Chicken Run,PS,6.6
3260,Indiana Jones and the Infernal Machine,N64,8.3
3261,Super Bust-A-Move,PS2,tbd
3262,Tom Clancy's Rainbow Six: Rogue Spear,DC,7.5
3263,Kessen,PS2,8.4
3264,Dynasty Warriors 2,PS2,8.8
3265,X-Men: Mutant Academy,PS,7.7
3266,Airfix Dogfighter,PC,8.1
3267,The Legend of Dragoon,PS,9.3
3268,Dino Crisis,DC,9
3269,Summoner,PS2,8
3270,Star Trek: Klingon Academy,PC,7.2
3271,4x4 Evolution,DC,7.4
3272,AeroWings 2: Air Strike,DC,7.7
3273,Vampire: The Masquerade - Redemption,PC,8.3
3274,Delta Force: Land Warrior,PC,7.7
3275,Army Men: Air Attack 2,PS,5.8
3276,Red Dog: Superior Firepower,DC,7.5
3277,Death Track Racing,PC,6.6
3278,Sanity: Aiken's Artifact,PC,7.7
3279,Dave Mirra Freestyle BMX,PC,7.7
3280,Cannon Spike,DC,8.2
3281,Blair Witch Volume I: Rustin Parr,PC,7.9
3282,Dave Mirra Freestyle BMX,DC,tbd
3283,Sheep,PC,7.4
3284,NFL GameDay 2001,PS,tbd
3285,4x4 Evolution,PC,6.4
3286,ESPN Winter X-Games Snowboarding,PS2,tbd
3287,Gungriffon Blaze,PS2,tbd
3288,Hitman: Codename 47,PC,7.5
3289,Disney's Donald Duck: Goin' Quackers,PS2,7.6
3290,Supercross,PS,tbd
3291,Motocross Mania,PC,6.8
3292,Ms. Pac-Man Maze Madness,DC,6.4
3293,NASCAR 2001,PS,6.1
3294,Call to Power II,PC,7.2
3295,Spider-Man,N64,6.9
3296,RC Revenge,PS,tbd
3297,ESPN International Track & Field,PS2,7.3
3298,Fantavision,PS2,6
3299,Microsoft Golf 2001 Edition,PC,7
3300,WWE SmackDown! Here Comes the Pain,PS2,8.9
3301,Freelancer,PC,8.9
3302,NASCAR Thunder 2004,XB,8.5
3303,The Elder Scrolls III: Bloodmoon,PC,8.3
3304,Ikaruga,GC,8.5
3305,The Lord of the Rings: The Return of the King,PS2,8.6
3306,The Sims,GC,7.6
3307,Final Fantasy XI,PC,7.6
3308,Need for Speed Underground,PS2,8.7
3309,Silent Hill 3,PS2,8.9
3310,Anarchy Online: Shadowlands,PC,8.5
3311,Disgaea: Hour of Darkness,PS2,8.8
3312,Neverwinter Nights: Hordes of the Underdark,PC,8.4
3313,Max Payne 2: The Fall of Max Payne,XB,8.2
3314,FIFA Soccer 2004,PS2,6.4
3315,Command & Conquer: Generals,PC,8.3
3316,Deus Ex: Invisible War,XB,7.6
3317,Return to Castle Wolfenstein: Tides of War,XB,8.4
3318,Skies of Arcadia Legends,GC,8.7
3319,NBA Live 2004,GC,7.7
3320,Age of Mythology: The Titans,PC,8.7
3321,SimCity 4,PC,8.7
3322,The Lord of the Rings: The Return of the King,GC,8
3323,Tron 2.0,PC,8.3
3324,Medieval: Total War - Viking Invasion,PC,8.8
3325,The Lord of the Rings: The Return of the King,XB,8.1
3326,Battlefield 1942: The Road to Rome,PC,7.6
3327,The Sims,XB,6.8
3328,Beyond Good & Evil,PC,8.7
3329,Halo: Combat Evolved,PC,7.5
3330,Need for Speed Underground,GC,8.5
3331,FIFA Soccer 2004,GC,6.3
3332,Command & Conquer: Generals - Zero Hour,PC,8.9
3333,Homeworld 2,PC,8.4
3334,Wakeboarding Unleashed Featuring Shaun Murray,PS2,8.3
3335,Phantasy Star Online Episode I & II,XB,8.4
3336,Galactic Civilizations,PC,7.7
3337,Need for Speed Underground,XB,8.5
3338,Freedom Fighters,GC,7.3
3339,High Heat Major League Baseball 2004,XB,8.4
3340,Super Puzzle Fighter II,GBA,7.6
3341,Tom Clancy's Rainbow Six 3: Raven Shield,PC,8.8
3342,Xenosaga Episode I: Der Wille zur Macht,PS2,8.6
3343,World of Outlaws: Sprint Cars,PC,7.2
3344,Karaoke Revolution,PS2,8.7
3345,Hitman 2: Silent Assassin,GC,5.9
3346,Sonic Advance 2,GBA,8.2
3347,Rayman 3,GBA,7.5
3348,The Sims,PS2,7.6
3349,Boktai: The Sun Is in Your Hand,GBA,8.5
3350,Metal Arms: Glitch in the System,GC,8.5
3351,ESPN College Hoops,PS2,8.5
3352,High Heat Major League Baseball 2004,PS2,8.1
3353,Pokemon Ruby Version,GBA,8.5
3354,MVP Baseball 2003,XB,8.5
3355,Zone of the Enders: The 2nd Runner,PS2,8.9
3356,Broken Sword: The Sleeping Dragon,PC,7.5
3357,Age of Wonders: Shadow Magic,PC,8.5
3358,Need for Speed: Underground,PC,8.3
3359,Ape Escape 2,PS2,8.4
3360,Dance Dance Revolution Ultramix,XB,8.8
3361,Gladius,GC,7.9
3362,FIFA Soccer 2004,XB,8.2
3363,Freedom Fighters,XB,8.1
3364,NCAA March Madness 2004,PS2,8.8
3365,Metal Arms: Glitch in the System,XB,8.5
3366,Ninja Five-O,GBA,8.2
3367,The Simpsons: Hit & Run,PC,8.1
3368,DDRMAX2 Dance Dance Revolution,PS2,8.2
3369,Airborne Assault: Highway to the Reich,PC,6.1
3370,NCAA March Madness 2004,XB,tbd
3371,Nancy Drew: Danger on Deception Island,PC,7.6
3372,The Sims Bustin' Out,PS2,8.3
3373,Mega Man Zero 2,GBA,8.7
3374,Time Crisis 3,PS2,8.1
3375,Mario Golf: Toadstool Tour,GC,8.1
3376,Midnight Club II,PC,8
3377,The Sims Bustin' Out,GC,8.4
3378,Empires: Dawn of the Modern World,PC,8.1
3379,PlanetSide,PC,7.3
3380,The Sims Bustin' Out,XB,8.6
3381,The Simpsons: Hit & Run,XB,8.5
3382,Karnaaj Rally,GBA,7.6
3383,Freedom Fighters,PS2,8.3
3384,Metal Arms: Glitch in the System,PS2,8.6
3385,Combat Mission 3: Afrika Korps,PC,7.9
3386,Fatal Frame II: Crimson Butterfly,PS2,8.9
3387,Secret Weapons Over Normandy,PS2,8.2
3388,NHL Hitz Pro,XB,8.8
3389,Pokemon Pinball: Ruby & Sapphire,GBA,7.7
3390,Star Wars Jedi Knight: Jedi Academy,PC,8.6
3391,Harvest Moon: Friends of Mineral Town,GBA,8.9
3392,NHL Hitz Pro,GC,7.8
3393,MVP Baseball 2003,PS2,8.9
3394,Ghost Master,PC,7.7
3395,Tom Clancy's Ghost Recon: Island Thunder,XB,8.8
3396,Def Jam Vendetta,GC,8.3
3397,Deus Ex: Invisible War,PC,6.4
3398,EyeToy: Play,PS2,7.5
3399,The Sims: Makin' Magic,PC,8.2
3400,NBA 2K6,PS2,8.3
3401,The Incredible Hulk: Ultimate Destruction,GC,7.9
3402,Tony Hawk's American Sk8land,DS,8.4
3403,X-Men Legends II: Rise of Apocalypse,XB,8.5
3404,The Warriors,PS2,8.4
3405,X-Men Legends II: Rise of Apocalypse,PSP,8.3
3406,Brothers in Arms: Earned in Blood,PC,7.4
3407,Indigo Prophecy,XB,7.6
3408,Tom Clancy's Ghost Recon 2 Summit Strike,XB,7.2
3409,Star Wars: Battlefront II,PS2,8.9
3410,Darwinia,PC,7.7
3411,WWE SmackDown! vs. Raw 2006,PS2,8.3
3412,Sly 3: Honor Among Thieves,PS2,8.8
3413,NHL 2K6,XB,7.5
3414,The Incredible Hulk: Ultimate Destruction,PS2,8.6
3415,Fable: The Lost Chapters,PC,8.6
3416,Racing Gears Advance,GBA,8
3417,Need for Speed: Most Wanted,X360,8.5
3418,Hearts of Iron II,PC,8.6
3419,TimeSplitters: Future Perfect,XB,8.8
3420,Fable: The Lost Chapters,XB,8.6
3421,Gunstar Super Heroes,GBA,8.2
3422,Indigo Prophecy,PS2,7.9
3423,Nintendogs: Chihuahua & Friends,DS,8.4
3424,Tiger Woods PGA Tour 06,PS2,6.2
3425,Nintendogs: Lab & Friends,DS,7.7
3426,Need for Speed Most Wanted,XB,8.9
3427,Star Wars: Battlefront II,XB,8.8
3428,Nintendogs: Dachshund & Friends,DS,8.2
3429,Tony Hawk's Underground 2 Remix,PSP,8
3430,X-Men Legends II: Rise of Apocalypse,PS2,7.5
3431,City of Villains,PC,7.6
3432,Act of War: Direct Action,PC,8.2
3433,Dangerous Waters,PC,8.8
3434,Peter Jackson's King Kong: The Official Game of the Movie,PS2,8.3
3435,Peter Jackson's King Kong: The Official Game of the Movie,XB,8.6
3436,Rome: Total War Barbarian Invasion,PC,8.4
3437,Need for Speed Most Wanted,PS2,8.9
3438,TrackMania Sunrise,PC,8.3
3439,SOCOM 3: U.S. Navy SEALs,PS2,8.8
3440,X-Men Legends II: Rise of Apocalypse,GC,6.2
3441,Tiger Woods PGA Tour 06,GC,5.8
3442,Sonic Rush,DS,8.4
3443,NHL Eastside Hockey Manager 2005,PC,6.6
3444,College Hoops 2K6,XB,8.4
3445,Shin Megami Tensei: Digital Devil Saga 2,PS2,3.5
3446,Major League Baseball 2K5,PS2,7.4
3447,Brothers in Arms: Road to Hill 30,PS2,7.6
3448,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,8.6
3449,TimeSplitters: Future Perfect,GC,8.5
3450,Harvest Moon: More Friends of Mineral Town,GBA,8.6
3451,Need for Speed: Most Wanted,PC,8.5
3452,Quake 4,PC,7.6
3453,Tom Clancy's Splinter Cell Chaos Theory,GC,8.1
3454,Condemned: Criminal Origins,X360,8.2
3455,WarioWare: Touched!,DS,8.1
3456,NHL 2K6,PS2,5.8
3457,Ratchet: Deadlocked,PS2,8.9
3458,Capcom Classics Collection,XB,tbd
3459,Phantom Dust,XB,7.7
3460,Major League Baseball 2K5,XB,8.2
3461,Trauma Center: Under the Knife,DS,8.5
3462,Age of Empires III,PC,7.7
3463,Phoenix Wright: Ace Attorney,DS,9
3464,Peter Jackson's King Kong: The Official Game of the Movie,GC,8.3
3465,Tiger Woods PGA Tour 06,XB,5.1
3466,Mario Tennis: Power Tour,GBA,8.2
3467,SSX On Tour,XB,8.1
3468,Hot Shots Golf: Open Tee,PSP,8.7
3469,Tiger Woods PGA Tour 06,PC,7.5
3470,The Sims 2 University,PC,7.7
3471,WWE SmackDown! vs. Raw 2006,PSP,8.5
3472,Disney's Toontown Online,PC,8.2
3473,NBA 2K6,X360,8.7
3474,Perfect Dark Zero,X360,7.3
3475,Super Monkey Ball Deluxe,XB,8.3
3476,MLB 2006,PS2,8.6
3477,Donkey Kong Jungle Beat,GC,8.1
