x,y,Name,Genre,Critic_Score,User_Score,Global_Sales,Year
0.05792623114843183,-0.41707802925873766,Castlevania: Curse of Darkness,Action,7.2,7.9,0.42,2005.0
1.2834208294914458,-0.9076870678176461,Vanquish,Shooter,8.3,9.2,0.42,2010.0
0.5261733230192296,-0.5072632846138876,Castlevania: The Dracula X Chronicles,Platform,8.0,8.0,0.42,2007.0
-1.0286724292436593,-0.1420999540463528,Hell Yeah! Wrath of the Dead Rabbit,Action,5.6,7.4,0.42,2004.0
1.1923180093507724,-0.7477966390740381,Zack & Wiki: Quest for Barbaros' Treasure,Adventure,8.7,8.6,0.42,2007.0
-0.31025120962203645,-0.38996448357164376,Blazing Angels: Squadrons of WWII,Simulation,6.4,8.0,0.42,2006.0
1.288902414346676,-0.838281029731399,Zone of the Enders: The 2nd Runner,Simulation,8.6,8.9,0.41,2003.0
0.2202374158738989,-0.3696655163679112,Osmos,Misc,7.8,7.6,0.41,2009.0
-0.047870373796239055,-0.40562368034887375,TimeShift,Shooter,7.0,7.9,0.41,2007.0
0.43158525677413034,-0.37478553685958454,Jamestown: Legend of the Lost Colony,Shooter,8.3,7.5,0.41,2011.0
-1.4458865261888905,-0.0624538749767593,300: March to Glory,Action,4.9,7.3,0.41,2007.0
-0.4346987317580731,-0.008108763063321166,WWE All Stars,Fighting,7.6,6.5,0.41,2011.0
0.9409003432354354,-0.5933253661243141,BlazBlue: Continuum Shift,Fighting,8.7,8.1,0.41,2010.0
0.2523385795047501,-0.5948388093530425,NiGHTS: Journey of Dreams,Platform,7.0,8.5,0.41,2007.0
0.7295525023352045,-0.5882053456326412,Top Spin 4,Sports,8.2,8.2,0.41,2011.0
0.1589940516241629,-0.45915306037832243,Katamari Forever,Puzzle,7.3,8.0,0.41,2009.0
-2.655689170352505,0.5975879219643647,Madden NFL Football,Sports,4.5,5.3,0.41,2011.0
1.1888327632463458,-0.7752093200633425,Mortal Kombat: Deadly Alliance,Action,8.6,8.7,0.41,2002.0
