,Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
17973,17974,Natsuiro High School: Seishun Hakusho,Action,NP,PS3,D3Publisher,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2015.0
17974,17975,Chrysler Classic Racing,Racing,E,DS,Zoo Games,EM Studios,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2008.0
17975,17976,L.A. Noire: The Complete Edition,Adventure,M,X360,Rockstar Games,Rockstar Leeds,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2011.0
17976,17977,Shrek / Shark Tale Game Boy Advance Video,Misc,NP,GBA,Hasbro Interactive,Majesco Games,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2006.0
17977,17978,Urban Chaos: Riot Response,Shooter,M,XB,Eidos Interactive,Rocksteady Studios,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2006.0
17978,17979,Ginga Fukei Densetsu: Sapphire,Shooter,NP,PCE,Hudson Soft,CAProduction,0.0,0.0,0.02,0.0,0.0,0.02,0.0,1995.0
17979,17980,The Sims 2: Family Fun Stuff,Simulation,T,PC,Electronic Arts,Maxis Software,0.0,0.0,0.02,0.0,0.01,0.0,0.0,2006.0
17980,17981,Katekyoo Hitman Reborn!! Let's Ansatsu!? Nerawareta 10 Daime!,Action,NP,PS2,Marvelous Interactive,Marvelous Interactive,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2007.0
17981,17982,The Mummy,Action,E,GBA,Ubisoft,Ubisoft,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2002.0
17982,17983,Guitar Freaks V3 & DrumMania V3,Simulation,NP,PS2,Konami,Konami,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2007.0
17983,17984,The Crow: City of Angels,Action,M,PS,Acclaim Entertainment,Gray Matter,0.0,0.0,0.02,0.01,0.01,0.0,0.0,1997.0
17984,17985,Snow Portable,Adventure,NP,PSP,Prototype,Prototype,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2007.0
17985,17986,Poyo Poyo Kansatsu Nikki,Misc,NP,3DS,IE Institute,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2012.0
17986,17987,Vietcong,Shooter,T,PC,Gathering of Developers,Pterodon,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2003.0
17987,17988,Dragon Quest X: 5000-nen no Harukanaru Kokyou e Online,Role-Playing,NP,PS4,Square Enix,Square Enix,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2017.0
17988,17989,Guitar Freaks & DrumMania: Masterpiece Gold,Simulation,NP,PS2,Konami,Konami,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2007.0
17989,17990,Jinsei Game DS,Misc,NP,DS,Atlus,Takara Tomy,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2006.0
17990,17991,Broken Sword: The Sleeping Dragon,Adventure,T,XB,The Adventure Company,Revolution Software,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2003.0
17991,17992,Mini Ninjas,Action,E10,PC,Eidos Interactive,IO Interactive,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2009.0
17992,17993,The Testament of Sherlock Holmes,Adventure,NP,X360,Focus Home Interactive,Frogwares,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2012.0
17993,17994,Paranormal Pursuit: The Gifted One,Action,NP,PC,Alawar Entertainment,Big Fish Games,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2015.0
17994,17995,Reversal Challenge,Misc,E,DS,Tommo,UFO Interactive,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2009.0
17995,17996,Crayola Scoot,Sports,E,PS4,Outright Games,Outright Games,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2018.0
17996,17997,Lumo,Puzzle,E10,NS,Rising Star Games,Triple Eh?,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2017.0
17997,17998,Mount & Blade: Warband,Role-Playing,NP,PC,Paradox Interactive,Taleworlds,0.0,0.0,0.02,0.01,0.01,0.0,0.0,2010.0
17998,17999,Genkai Tokki: Castle Panzers,Role-Playing,NP,PS4,Compile Heart,Compile Heart,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2017.0
17999,18000,Heavy Fire: Afghanistan,Shooter,T,PC,Mastiff,Mastiff,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2011.0
18000,18001,Miyako,Adventure,NP,PSP,Idea Factory,Idea Factory,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2010.0
18001,18002,Motto NUGA-CEL!,Adventure,NP,PSP,Idea Factory,Lupinus,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2010.0
18002,18003,UFO: Trilogy,Strategy,NP,PC,Unknown,Altar Interactive,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2007.0
18003,18004,Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),Strategy,E,PS2,Konami,Konami,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2008.0
18004,18005,11eyes: CrossOver,Adventure,NP,PSP,5pb,Genterprise,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2010.0
18005,18006,Super Dodge Ball,Sports,NP,NG,Technos Japan Corporation,Technos,0.0,0.0,0.02,0.0,0.0,0.02,0.0,1996.0
18006,18007,Gon: BakuBakuBakuBaku Adventure,Misc,NP,3DS,Namco Bandai Games,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2012.0
18007,18008,Eve: Burst Error R,Action,NP,PSV,Red Flagship,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2016.0
18008,18009,Style Book: Junior City,Misc,NP,DS,Bandai,Bandai,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2006.0
18009,18010,Earth Seeker,Role-Playing,NP,Wii,Kadokawa Shoten,Crafts & Meisters,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2011.0
18010,18011,Atlantic Quest,Puzzle,NP,PC,Avanquest,Oberon Media,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2011.0
18011,18012,PopCap Hits!,Misc,NP,X360,PopCap Games,PopCap Games,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2011.0
18012,18013,Still Life 2,Adventure,M,PC,Encore,GameCo Studios,7.3,0.0,0.02,0.0,0.02,0.0,0.0,2009.0
18013,18014,Dark Tales: Edgar Allan Poe's The Premature Burial,Misc,NP,PC,Focus Multimedia,Unknown,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2012.0
18014,18015,Trapped Dead,Strategy,M,PC,Meridian4,Headup Games / Crenetic,4.0,0.0,0.02,0.0,0.02,0.0,0.0,2011.0
18015,18016,Rainbow Islands Revolution,Platform,E,DS,Codemasters,Taito Corporation,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2006.0
18016,18017,Barbie as the Princess and the Pauper,Adventure,E,GBA,Knowledge Adventure,VU Games,6.0,0.0,0.02,0.01,0.0,0.0,0.0,2004.0
18017,18018,Diabolik Lovers: Lost Eden,Adventure,NP,PSV,Idea Factory,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2017.0
18018,18019,Horrid Henry: Missions of Mischief,Adventure,E,Wii,SouthPeak Interactive,Asylum Entertainment,0.0,0.0,0.02,0.0,0.01,0.0,0.0,2010.0
18019,18020,Space Hulk Tactics,Strategy,NP,XOne,Focus Home Interactive,Cyanide,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2018.0
18020,18021,Tantei Opera: Milky Holmes,Adventure,NP,PSP,Unknown,BushiRoad,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2010.0
18021,18022,Starship Troopers,Shooter,M,PC,Empire Interactive,Strangelite,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2005.0
18022,18023,Adventure Time: Pirates of the Enchiridion,Adventure,E10,PS4,Outright Games,Outright Games,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2018.0
18023,18024,Casper's Scare School: Spooky Sports Day,Sports,E,DS,Crave Entertainment,The Code Monkeys,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2010.0
18024,18025,Entaku no Seito: The Eternal Legend,Misc,NP,PSP,Kadokawa Games,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2012.0
18025,18026,My Hero: Doctor,Action,E10,DS,Majesco,Game Life / Dream On Studio,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2009.0
18026,18027,Shin Atelier Rorona: Hajimari no Monogatari,Role-Playing,NP,3DS,Koei Tecmo,Gust,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2015.0
18027,18028,WorldShift,Strategy,T,PC,Playlogic Game Factory,Black Sea Studios,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2009.0
18028,18029,Mount & Blade Collection,Misc,NP,PC,Paradox Interactive,Unknown,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2012.0
18029,18030,Sega Ages 2500 Series Vol. 29: Monster World Complete Collection,Role-Playing,NP,PS2,Sega,Sega,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2007.0
18030,18031,Cabela's Alaskan Adventure,Sports,T,PS2,Activision,Activision,0.0,0.0,0.02,0.01,0.01,0.0,0.0,2006.0
18031,18032,Metal Fight Beyblade Portable: Chouzetsu Tensei Vulcan Horses,Action,NP,PSP,Takara Tomy,Takara Tomy,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2010.0
18032,18033,Robotics;Notes,Visual Novel,NP,PSV,5pb,5pb. Games,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2014.0
18033,18034,Tropico 5,Simulation,T,XOne,Kalypso Media,Haemimont Games,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2016.0
18034,18035,Elf Bowling 1 & 2,Sports,T,DS,Ignition Entertainment,Ignition Entertainment,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2005.0
18035,18036,Aqua Panic!,Puzzle,E,DS,Neko Entertainment,EKO System,0.0,0.0,0.02,0.01,0.01,0.0,0.0,2009.0
18036,18037,Back to the Future: The Game,Adventure,T,XOne,Telltale Games,Telltale Games,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2015.0
18037,18038,Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,Adventure,NP,PSV,5pb,MAGES,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2017.0
18038,18039,Tycoon City: New York,Strategy,T,PC,Atari,Deep Red,6.2,0.0,0.02,0.0,0.02,0.0,0.0,2006.0
18039,18040,uDraw Studio: Instant Artist,Misc,NP,X360,THQ,Unknown,0.0,0.0,0.02,0.01,0.01,0.0,0.0,2011.0
18040,18041,Fuuraiki 3,Action,NP,PSV,Unknown,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2015.0
18041,18042,Puzzle Chronicles,Puzzle,E10,DS,Konami,Infinite Interactive,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2010.0
18042,18043,Kadenz fermata//Akkord:fortissimo,Adventure,NP,PSV,5pb,La'cryma,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2015.0
18043,18044,Puzzle Quest: Challenge of the Warlords,Puzzle,E10,PSP,D3 Publisher,Vicious Cycle,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2007.0
18044,18045,Arabians Lost: The Engagement on Desert,Adventure,NP,PS2,Prototype,QuinRose,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2007.0
18045,18046,Densha de Go! Tokubetsu-hen: Fukkatsu Shouwa no Yamatesen,Simulation,NP,DS,Square Enix,Taito Corporation,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2010.0
18046,18047,Gakken DS: Shin TOEIC Test Kanzen Kouryaku,Misc,NP,DS,Gakken,Gakken,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2007.0
18047,18048,SD Gundam Sangokuden Brave Battle Warriors: Shin Mirisha Taisen,Action,NP,DS,Namco Bandai,Bandai Namco Games,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2010.0
18048,18049,Summon Night Granthese: Horobi no Ken to Yakusoku no Kishi,Role-Playing,NP,PS2,Namco Bandai,Flight-Plan,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2010.0
18049,18050,NHL 09,Sports,E,PC,Electronic Arts,EA Canada,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2008.0
18050,18051,Persona 5: Dancing in Starlight,Music,T,PSV,Atlus,Atlus,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2018.0
18051,18052,Puzzle Guzzle,Puzzle,E,PSP,Agetec,Irem Software Engineering,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2008.0
18052,18053,Starry ? Sky: After Summer,Misc,NP,PSP,Asgard,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2013.0
18053,18054,ESPN NFL Primetime 2002,Sports,E,XB,Konami,Farsight Technologies,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2002.0
18054,18055,Halo Wars 2,Strategy,T,PC,THQ Nordic,Creative Assembly,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2017.0
18055,18056,Gallop Racer Inbreed,Sports,NP,PS2,Tecmo,Tecmo,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2006.0
18056,18057,Ketsui: Kizuna Jigoku Tachi Extra,Shooter,NP,X360,5pb,Cave,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2010.0
18057,18058,Red Ninja: End of Honor,Action,M,XB,VU Games,Tranji,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2005.0
18058,18059,Frisbee Disc Freestyle / Frisbee Disc Golf,Sports,E,DS,DSI Games,Destination Software,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2007.0
18059,18060,Suzumiya Haruhi-Chan no Mahjong,Misc,NP,PSP,Kadokawa Shoten,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2011.0
18060,18061,The King of Fighters Collection: The Orochi Saga (JP sales),Fighting,T,PS2,SNK Playmore,SNK Playmore Corporation,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2008.0
18061,18062,Tsuki no Hikari: Shizumeru Kane no Satsujin,Adventure,NP,PS2,Victor Interactive,Victor Interactive Software,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2002.0
18062,18063,James Bond 007: Blood Stone,Misc,NP,Mob,Activision,Unknown,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2010.0
18063,18064,SteamWorld Dig 2,Platform,E10,PS4,Rising Star Games,Image & Form Games,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2018.0
18064,18065,"Warhammer 40,000: Dawn of War: Soulstorm",Strategy,M,PC,THQ,Iron Lore Entertainment,6.9,0.0,0.02,0.0,0.02,0.0,0.0,2008.0
18065,18066,Writing and Speaking Beautiful Japanese DS,Misc,NP,DS,Unknown,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2008.0
18066,18067,XBlaze Lost: Memories,Visual Novel,M,PSV,Aksys Games,Arc System Works,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2015.0
18067,18068,Garfield's Nightmare,Platform,E,DS,Game Factory,Shin'en,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2007.0
